user_id,total_swipes,favorite_hall,most_common_meal,avg_wait_sec,persona,dietary_pref
U00057,14,Marciano Commons,dinner,572.57,residential_east,gluten_free
U00058,19,Stuvi2 / towers,dinner,355.11,residential_east,none
U00059,15,West Campus Dining,dinner,328.67,residential_west,vegetarian
U00060,16,West Campus Dining,lunch,373.44,residential_west,vegan
U00061,14,Marciano Commons,dinner,456.14,residential_east,none
U00062,11,Marciano Commons,lunch,412.27,commuter,halal
U00063,18,Marciano Commons,dinner,507.78,residential_west,vegan
U00064,13,West Campus Dining,dinner,379.31,residential_west,none
U00065,15,Marciano Commons,lunch,389.87,residential_central,none
U00066,14,Marciano Commons,breakfast,456.21,residential_east,none
U00067,8,Marciano Commons,lunch,403.62,commuter,none
U00068,19,Marciano Commons,dinner,378.95,residential_east,none
U00069,7,Warren Towers Dining,dinner,262.14,off_campus_plan,none
U00070,9,Marciano Commons,lunch,328.11,commuter,none
U00071,10,Stuvi2 / towers,dinner,363.1,residential_east,halal
U00072,15,Marciano Commons,breakfast,458.2,residential_east,none
U00073,7,Marciano Commons,lunch,479.57,commuter,none
U00074,7,Stuvi2 / towers,lunch,586.57,commuter,none
U00075,9,Marciano Commons,lunch,265.0,commuter,none
U00076,10,Stuvi2 / towers,dinner,368.2,commuter,none
U00077,14,Stuvi2 / towers,dinner,308.93,residential_east,none
U00078,14,Marciano Commons,dinner,408.71,residential_west,none
U00079,10,Marciano Commons,dinner,423.4,residential_east,vegan
U00080,7,Sargent Choice Café,lunch,444.0,commuter,gluten_free
U00081,13,Marciano Commons,dinner,353.08,residential_central,none
U00082,17,West Campus Dining,lunch,399.06,residential_west,none
U00083,17,Warren Towers Dining,dinner,207.53,residential_east,vegetarian
U00084,11,Marciano Commons,dinner,399.82,residential_west,vegetarian
U00085,10,Marciano Commons,dinner,337.6,residential_west,none
U00086,9,Marciano Commons,lunch,411.33,commuter,halal
U00087,15,Sargent Choice Café,lunch,452.07,residential_central,vegetarian
U00088,8,Stuvi2 / towers,lunch,440.12,commuter,none
U00089,15,Marciano Commons,dinner,272.73,residential_west,vegetarian
U00090,14,Marciano Commons,lunch,351.71,residential_east,gluten_free
U00091,8,Marciano Commons,lunch,386.88,commuter,vegan
U00092,12,Marciano Commons,lunch,446.08,commuter,none
U00093,17,Sargent Choice Café,dinner,490.65,residential_central,none
U00094,6,Marciano Commons,lunch,522.5,commuter,none
U00095,14,Marciano Commons,breakfast,325.64,residential_west,none
U00096,17,Marciano Commons,dinner,335.88,residential_central,vegetarian
U00097,12,West Campus Dining,breakfast,527.0,residential_west,halal
U00098,15,Marciano Commons,dinner,375.8,residential_east,vegan
U00099,13,Marciano Commons,dinner,455.69,residential_east,gluten_free
U00100,15,Warren Towers Dining,dinner,358.2,residential_east,none
U00101,15,Marciano Commons,dinner,504.2,residential_central,halal
U00102,16,Marciano Commons,dinner,298.56,residential_west,vegan
U00103,16,Sargent Choice Café,dinner,304.12,residential_central,none
U00104,6,Stuvi2 / towers,dinner,607.5,off_campus_plan,vegan
U00105,11,Marciano Commons,dinner,205.27,residential_east,none
U00106,14,Marciano Commons,dinner,296.93,residential_west,vegan
U00107,6,Stuvi2 / towers,lunch,337.33,commuter,none
U00108,16,Warren Towers Dining,lunch,170.56,residential_east,none
U00109,14,Warren Towers Dining,dinner,373.43,residential_east,vegetarian
U00110,17,Marciano Commons,dinner,235.35,residential_west,vegetarian
U00111,18,Marciano Commons,dinner,265.61,residential_east,none
U00112,4,Stuvi2 / towers,lunch,233.25,off_campus_plan,none
U00113,8,Sargent Choice Café,lunch,520.12,commuter,none
U00114,18,Marciano Commons,lunch,354.78,residential_central,vegetarian
U00115,11,Stuvi2 / towers,lunch,254.55,commuter,halal
U00116,8,Sargent Choice Café,lunch,379.38,commuter,gluten_free
U00117,14,Marciano Commons,dinner,304.71,residential_east,none
U00118,8,Marciano Commons,lunch,303.0,commuter,vegan
U00119,12,Marciano Commons,dinner,532.75,residential_central,none
U00120,8,Warren Towers Dining,lunch,451.0,commuter,vegan
U00121,11,Stuvi2 / towers,lunch,408.36,commuter,none
U00122,13,Marciano Commons,dinner,464.54,residential_west,none
U00123,16,Marciano Commons,lunch,354.44,residential_east,vegetarian
U00124,12,Marciano Commons,lunch,486.42,residential_east,none
U00125,15,Marciano Commons,dinner,366.8,residential_west,vegetarian
U00126,10,Sargent Choice Café,lunch,396.1,commuter,halal
U00127,6,Stuvi2 / towers,lunch,276.33,commuter,none
U00128,14,Marciano Commons,dinner,437.57,residential_east,none
U00129,10,Marciano Commons,dinner,580.8,residential_central,halal
U00130,13,Marciano Commons,dinner,565.54,residential_west,vegan
U00131,16,Marciano Commons,lunch,410.25,residential_east,none
U00132,14,Stuvi2 / towers,dinner,503.64,residential_east,none
U00133,16,Marciano Commons,dinner,488.06,residential_west,vegetarian
U00134,7,Marciano Commons,dinner,335.43,off_campus_plan,vegetarian
U00135,14,Marciano Commons,lunch,445.79,residential_west,none
U00136,14,Sargent Choice Café,lunch,402.71,residential_central,none
U00137,8,Marciano Commons,lunch,324.62,commuter,halal
U00138,15,Marciano Commons,dinner,315.73,residential_west,vegetarian
U00139,6,Stuvi2 / towers,dinner,307.67,off_campus_plan,gluten_free
U00140,9,Warren Towers Dining,lunch,522.56,off_campus_plan,vegan
U00141,13,Marciano Commons,dinner,367.92,residential_east,gluten_free
U00142,17,Marciano Commons,dinner,356.82,residential_west,none
U00143,17,Marciano Commons,dinner,492.94,residential_west,vegan
U00144,13,Marciano Commons,dinner,411.54,residential_west,none
U00145,13,Marciano Commons,dinner,233.46,residential_east,vegetarian
U00146,17,Sargent Choice Café,dinner,638.76,residential_central,none
U00147,18,Marciano Commons,lunch,441.39,residential_central,none
U00148,18,Marciano Commons,dinner,251.0,residential_east,halal
U00149,15,Warren Towers Dining,dinner,373.07,residential_east,halal
U00150,6,Stuvi2 / towers,lunch,277.67,off_campus_plan,none
U00151,16,Stuvi2 / towers,dinner,415.69,residential_east,vegetarian
U00152,17,Warren Towers Dining,dinner,362.71,residential_east,none
U00153,14,West Campus Dining,lunch,252.64,residential_west,none
U00154,8,Sargent Choice Café,lunch,404.38,off_campus_plan,halal
U00155,14,Warren Towers Dining,lunch,324.0,residential_east,none
U00156,13,Marciano Commons,dinner,272.54,residential_central,gluten_free
U00157,8,Marciano Commons,lunch,516.88,commuter,none
U00158,14,Marciano Commons,breakfast,310.07,residential_east,vegetarian
U00159,11,Marciano Commons,lunch,399.45,commuter,vegetarian
U00160,15,Marciano Commons,dinner,274.8,residential_west,none
U00161,19,Sargent Choice Café,breakfast,349.89,residential_central,none
U00162,14,Marciano Commons,dinner,517.21,residential_central,halal
U00163,16,Sargent Choice Café,dinner,496.31,residential_central,vegan
U00164,14,Stuvi2 / towers,dinner,365.5,residential_east,none
U00165,11,Warren Towers Dining,lunch,298.36,commuter,none
U00166,14,Marciano Commons,dinner,203.57,residential_west,none
U00167,14,Marciano Commons,dinner,334.14,residential_east,none
U00168,16,Warren Towers Dining,dinner,465.81,residential_east,none
U00169,12,Marciano Commons,lunch,366.92,residential_central,none
U00170,16,Sargent Choice Café,dinner,363.31,residential_central,halal
U00171,16,Marciano Commons,dinner,372.94,residential_east,vegetarian
U00172,14,Marciano Commons,dinner,449.43,residential_central,gluten_free
U00173,14,Warren Towers Dining,dinner,351.0,residential_east,vegetarian
U00174,14,Marciano Commons,dinner,402.79,residential_central,gluten_free
U00175,11,Marciano Commons,dinner,498.18,residential_east,vegetarian
U00176,15,Marciano Commons,dinner,284.4,residential_central,vegetarian
U00177,13,West Campus Dining,lunch,446.54,residential_west,gluten_free
U00178,6,Marciano Commons,lunch,274.83,off_campus_plan,vegetarian
U00179,16,Marciano Commons,dinner,175.0,residential_east,none
U00180,14,West Campus Dining,dinner,251.5,residential_west,vegetarian
U00181,14,Stuvi2 / towers,lunch,345.86,residential_east,halal
U00182,6,Sargent Choice Café,dinner,503.5,off_campus_plan,vegan
U00183,9,Marciano Commons,lunch,520.56,commuter,vegetarian
U00184,12,Marciano Commons,lunch,511.0,residential_east,vegetarian
U00185,17,Sargent Choice Café,dinner,420.94,residential_central,gluten_free
U00186,8,Stuvi2 / towers,lunch,318.75,commuter,none
U00187,15,Marciano Commons,lunch,417.8,residential_central,vegetarian
U00188,15,Marciano Commons,dinner,250.33,residential_central,none
U00189,16,Warren Towers Dining,dinner,450.12,residential_east,vegetarian
U00190,12,Marciano Commons,lunch,326.83,residential_east,vegetarian
U00191,10,Warren Towers Dining,lunch,215.7,commuter,none
U00192,4,Stuvi2 / towers,dinner,477.0,off_campus_plan,none
U00193,14,Marciano Commons,dinner,335.5,residential_central,vegetarian
U00194,13,West Campus Dining,lunch,404.08,residential_west,none
U00195,14,West Campus Dining,lunch,457.93,residential_west,none
U00196,8,Warren Towers Dining,lunch,438.62,commuter,halal
U00197,7,Marciano Commons,lunch,306.29,commuter,none
U00198,6,Marciano Commons,lunch,231.17,commuter,none
U00199,9,Stuvi2 / towers,lunch,198.89,commuter,gluten_free
U00200,15,Sargent Choice Café,dinner,277.67,residential_central,none
U00201,17,Warren Towers Dining,dinner,474.24,residential_east,none
U00202,13,Marciano Commons,dinner,460.15,residential_east,vegetarian
U00203,8,Marciano Commons,lunch,357.5,commuter,vegan
U00204,18,Marciano Commons,dinner,549.83,residential_central,halal
U00205,15,Marciano Commons,dinner,327.0,residential_east,halal
U00206,12,Marciano Commons,dinner,363.92,residential_east,vegan
U00207,11,Sargent Choice Café,dinner,480.36,residential_central,none
U00208,15,Stuvi2 / towers,lunch,281.2,residential_east,none
U00209,13,Warren Towers Dining,dinner,327.15,residential_east,none
U00210,15,Marciano Commons,dinner,489.13,residential_central,none
U00211,18,Marciano Commons,dinner,304.0,residential_central,vegetarian
U00212,15,Marciano Commons,dinner,287.2,residential_central,vegetarian
U00213,15,Marciano Commons,dinner,318.53,residential_east,none
U00214,8,Warren Towers Dining,lunch,305.0,commuter,halal
U00215,14,Stuvi2 / towers,breakfast,238.07,residential_east,none
U00216,15,West Campus Dining,dinner,407.27,residential_west,none
U00217,9,Warren Towers Dining,lunch,257.22,commuter,vegetarian
U00218,18,Marciano Commons,dinner,683.83,residential_central,none
U00219,9,Stuvi2 / towers,lunch,378.11,commuter,none
U00220,16,Sargent Choice Café,dinner,392.94,residential_central,none
U00221,15,Sargent Choice Café,dinner,402.07,residential_central,none
U00222,15,Marciano Commons,dinner,404.33,residential_east,vegan
U00223,10,Marciano Commons,dinner,338.1,residential_west,halal
U00224,17,Marciano Commons,dinner,396.06,residential_east,none
U00225,14,Marciano Commons,lunch,310.57,residential_east,none
U00226,8,Warren Towers Dining,lunch,659.12,off_campus_plan,vegetarian
U00227,15,West Campus Dining,dinner,343.8,residential_west,gluten_free
U00228,7,Warren Towers Dining,lunch,718.14,commuter,none
U00229,16,Sargent Choice Café,lunch,412.44,residential_central,none
U00230,8,West Campus Dining,lunch,371.38,commuter,vegan
U00231,12,Marciano Commons,dinner,233.33,residential_central,vegetarian
U00232,15,Sargent Choice Café,dinner,254.47,residential_central,none
U00233,16,Marciano Commons,lunch,396.62,residential_west,vegetarian
U00234,13,Stuvi2 / towers,dinner,368.92,residential_east,none
U00235,8,Stuvi2 / towers,lunch,274.88,commuter,none
U00236,14,Marciano Commons,dinner,254.64,residential_west,none
U00237,14,Stuvi2 / towers,dinner,398.86,residential_east,halal
U00238,17,Marciano Commons,dinner,306.47,residential_central,none
U00239,15,Stuvi2 / towers,dinner,296.93,residential_east,none
U00240,3,Marciano Commons,dinner,642.0,off_campus_plan,none
U00241,8,Marciano Commons,lunch,433.25,off_campus_plan,halal
U00242,8,Marciano Commons,lunch,506.88,off_campus_plan,none
U00243,16,West Campus Dining,dinner,428.38,residential_west,none
U00244,13,Marciano Commons,lunch,315.08,residential_east,none
U00245,6,Warren Towers Dining,dinner,627.83,off_campus_plan,vegan
U00246,15,Marciano Commons,dinner,572.47,residential_west,none
U00247,5,Stuvi2 / towers,lunch,318.2,off_campus_plan,none
U00248,8,Marciano Commons,dinner,238.25,off_campus_plan,none
U00249,9,Sargent Choice Café,lunch,216.56,commuter,halal
U00250,14,West Campus Dining,dinner,217.5,residential_west,vegetarian
U00251,12,Marciano Commons,dinner,324.75,residential_west,vegetarian
U00252,9,Marciano Commons,lunch,463.56,commuter,halal
U00253,14,Marciano Commons,dinner,470.57,residential_west,halal
U00254,13,Marciano Commons,dinner,484.31,residential_east,none
U00255,16,Marciano Commons,dinner,450.5,residential_central,gluten_free
U00256,7,Stuvi2 / towers,lunch,447.14,off_campus_plan,none
U00257,14,Marciano Commons,lunch,752.93,residential_central,none
U00258,16,Marciano Commons,dinner,340.12,residential_central,halal
U00259,17,Marciano Commons,dinner,311.65,residential_east,none
U00260,18,Marciano Commons,dinner,427.22,residential_central,none
U00261,8,Marciano Commons,lunch,261.25,off_campus_plan,none
U00262,13,Stuvi2 / towers,dinner,341.31,residential_east,vegetarian
U00263,15,Marciano Commons,dinner,459.67,residential_central,none
U00264,9,Marciano Commons,lunch,319.33,commuter,vegetarian
U00265,7,Warren Towers Dining,lunch,469.57,commuter,halal
U00266,16,Sargent Choice Café,dinner,441.88,residential_central,vegetarian
U00267,9,Warren Towers Dining,lunch,435.56,commuter,none
U00268,15,West Campus Dining,lunch,325.73,residential_west,gluten_free
U00269,16,Marciano Commons,dinner,349.0,residential_west,none
U00270,10,Warren Towers Dining,lunch,331.8,commuter,none
U00271,7,Marciano Commons,lunch,338.86,commuter,none
U00272,9,Sargent Choice Café,lunch,371.89,commuter,vegetarian
U00273,10,Sargent Choice Café,lunch,607.6,off_campus_plan,none
U00274,16,Sargent Choice Café,lunch,477.12,residential_central,none
U00275,13,Marciano Commons,dinner,327.46,residential_central,none
U00276,9,Warren Towers Dining,lunch,266.22,commuter,none
U00277,15,Marciano Commons,dinner,466.13,residential_central,vegetarian
U00278,8,Marciano Commons,lunch,465.0,commuter,vegan
U00279,9,Warren Towers Dining,lunch,605.44,commuter,vegan
U00280,6,West Campus Dining,lunch,243.5,commuter,none
U00281,12,Marciano Commons,breakfast,530.5,residential_west,none
U00282,14,Marciano Commons,dinner,280.29,residential_west,gluten_free
U00283,13,Warren Towers Dining,lunch,416.23,residential_east,none
U00284,16,Marciano Commons,dinner,401.0,residential_central,halal
U00285,17,Marciano Commons,dinner,345.82,residential_east,none
U00286,15,West Campus Dining,dinner,552.27,residential_west,gluten_free
U00287,15,Sargent Choice Café,dinner,305.13,residential_central,none
U00288,15,Marciano Commons,dinner,409.53,residential_west,none
U00289,16,Marciano Commons,dinner,298.94,residential_central,vegetarian
U00290,14,Marciano Commons,dinner,399.64,residential_east,vegetarian
U00291,16,Marciano Commons,dinner,407.19,residential_east,none
U00292,7,Sargent Choice Café,lunch,390.57,commuter,vegetarian
U00293,14,Marciano Commons,dinner,541.86,residential_west,vegan
U00294,15,Marciano Commons,breakfast,503.87,residential_east,none
U00295,16,Marciano Commons,dinner,615.31,residential_central,none
U00296,9,Marciano Commons,lunch,446.67,commuter,none
U00297,13,Marciano Commons,lunch,270.62,residential_east,none
U00298,16,Marciano Commons,dinner,400.0,residential_central,vegetarian
U00299,13,Stuvi2 / towers,lunch,340.77,residential_east,none
U00300,12,Marciano Commons,dinner,500.5,residential_east,none
U00301,13,Marciano Commons,dinner,401.62,residential_central,none
U00302,15,Marciano Commons,breakfast,330.4,residential_central,none
U00303,17,Marciano Commons,breakfast,373.12,residential_central,none
U00304,9,Warren Towers Dining,lunch,281.56,commuter,none
U00305,7,Stuvi2 / towers,lunch,185.57,off_campus_plan,none
U00306,18,Marciano Commons,lunch,351.0,residential_central,gluten_free
U00307,13,Marciano Commons,dinner,251.0,residential_west,none
U00308,9,West Campus Dining,lunch,318.11,commuter,vegetarian
U00309,13,Stuvi2 / towers,dinner,300.85,residential_east,none
U00310,15,Marciano Commons,dinner,431.2,residential_west,none
U00311,17,Warren Towers Dining,dinner,366.24,residential_east,none
U00312,14,Marciano Commons,lunch,445.5,residential_east,none
U00313,5,Sargent Choice Café,lunch,132.6,off_campus_plan,gluten_free
U00314,9,Sargent Choice Café,lunch,246.22,commuter,gluten_free
U00315,17,Marciano Commons,dinner,414.06,residential_central,vegan
U00316,15,West Campus Dining,breakfast,364.0,residential_west,vegetarian
U00317,17,Warren Towers Dining,breakfast,325.0,residential_east,none
U00318,14,Marciano Commons,lunch,331.0,residential_east,none
U00319,16,Warren Towers Dining,dinner,397.56,residential_east,gluten_free
U00320,15,Sargent Choice Café,lunch,643.33,residential_central,vegetarian
U00321,8,Warren Towers Dining,lunch,587.25,commuter,vegetarian
U00322,15,Sargent Choice Café,lunch,286.33,residential_central,none
U00323,12,Marciano Commons,dinner,340.42,residential_east,none
U00324,7,West Campus Dining,lunch,438.0,off_campus_plan,gluten_free
U00325,12,West Campus Dining,lunch,350.42,commuter,none
U00326,18,Marciano Commons,dinner,314.39,residential_central,none
U00327,11,Sargent Choice Café,lunch,392.0,residential_central,none
U00328,15,Marciano Commons,dinner,467.27,residential_west,halal
U00329,15,Warren Towers Dining,dinner,399.67,residential_east,none
U00330,15,Marciano Commons,dinner,345.67,residential_west,halal
U00331,8,Warren Towers Dining,lunch,634.88,commuter,none
U00332,16,Warren Towers Dining,dinner,237.56,residential_east,halal
U00333,16,Marciano Commons,dinner,395.0,residential_east,vegetarian
U00334,14,Marciano Commons,breakfast,416.71,residential_east,none
U00335,14,Warren Towers Dining,lunch,422.14,residential_east,vegetarian
U00336,7,Stuvi2 / towers,lunch,185.86,commuter,none
U00337,10,Stuvi2 / towers,lunch,205.7,commuter,none
U00338,14,Marciano Commons,lunch,496.86,residential_west,halal
U00339,17,Stuvi2 / towers,dinner,318.0,residential_east,none
U00340,15,Marciano Commons,dinner,325.13,residential_west,none
U00341,11,Marciano Commons,dinner,365.45,residential_west,none
U00342,12,Stuvi2 / towers,dinner,466.5,residential_east,none
U00343,15,West Campus Dining,lunch,371.47,residential_west,halal
U00344,11,West Campus Dining,dinner,405.64,residential_west,none
U00345,13,Marciano Commons,dinner,214.77,residential_central,gluten_free
U00346,17,Marciano Commons,dinner,392.12,residential_central,gluten_free
U00347,16,Marciano Commons,dinner,394.0,residential_east,none
U00348,13,West Campus Dining,dinner,444.62,residential_west,none
U00349,16,Sargent Choice Café,dinner,270.0,residential_central,halal
U00350,15,Marciano Commons,dinner,489.13,residential_central,none
U00351,11,Warren Towers Dining,lunch,392.36,commuter,none
U00352,13,Marciano Commons,dinner,250.85,residential_central,none
U00353,14,Warren Towers Dining,dinner,292.43,residential_east,vegetarian
U00354,16,Warren Towers Dining,dinner,271.94,residential_east,vegan
U00355,15,Marciano Commons,dinner,489.0,residential_central,none
U00356,17,Warren Towers Dining,dinner,451.24,residential_east,none
U00357,17,Marciano Commons,dinner,277.82,residential_central,gluten_free
U00358,11,Stuvi2 / towers,dinner,304.45,off_campus_plan,vegan
U00359,16,Marciano Commons,dinner,586.94,residential_central,vegetarian
U00360,13,West Campus Dining,dinner,333.0,residential_west,vegan
U00361,14,Marciano Commons,lunch,361.21,residential_central,none
U00362,10,West Campus Dining,dinner,448.2,residential_west,vegan
U00363,14,Sargent Choice Café,dinner,468.07,residential_central,none
U00364,8,Marciano Commons,dinner,304.38,off_campus_plan,none
U00365,14,Marciano Commons,dinner,413.93,residential_west,vegetarian
U00366,7,Marciano Commons,dinner,501.43,off_campus_plan,none
U00367,9,Marciano Commons,lunch,468.56,off_campus_plan,gluten_free
U00368,16,Marciano Commons,lunch,416.31,residential_east,none
U00369,11,Warren Towers Dining,dinner,392.73,residential_east,gluten_free
U00370,15,Marciano Commons,lunch,421.2,residential_east,gluten_free
U00371,14,Marciano Commons,dinner,426.71,residential_east,none
U00372,18,Marciano Commons,dinner,442.0,residential_east,vegan
U00373,16,Marciano Commons,dinner,512.38,residential_central,none
U00374,13,Warren Towers Dining,dinner,325.23,residential_east,halal
U00375,14,Marciano Commons,dinner,356.86,residential_west,none
U00376,6,Marciano Commons,lunch,206.5,commuter,vegan
U00377,11,Marciano Commons,lunch,228.27,residential_east,none
U00378,5,Warren Towers Dining,lunch,426.0,commuter,none
U00379,12,Marciano Commons,dinner,195.5,residential_west,none
U00380,12,Marciano Commons,dinner,336.25,residential_east,none
U00381,15,Marciano Commons,lunch,353.6,residential_central,vegan
U00382,15,Marciano Commons,dinner,349.87,residential_central,vegetarian
U00383,11,Marciano Commons,lunch,475.82,commuter,vegetarian
U00384,9,Warren Towers Dining,lunch,338.33,commuter,none
U00385,8,Stuvi2 / towers,lunch,260.0,commuter,none
U00386,15,West Campus Dining,dinner,376.87,residential_west,none
U00387,15,Marciano Commons,dinner,341.13,residential_east,vegan
U00388,7,Marciano Commons,lunch,304.57,commuter,gluten_free
U00389,8,Sargent Choice Café,lunch,424.5,commuter,none
U00390,3,Stuvi2 / towers,lunch,397.0,off_campus_plan,none
U00391,12,West Campus Dining,dinner,215.25,residential_west,none
U00392,17,Marciano Commons,dinner,492.82,residential_west,vegetarian
U00393,10,Stuvi2 / towers,lunch,429.9,commuter,vegetarian
U00394,13,Marciano Commons,dinner,225.54,residential_west,vegan
U00395,5,Sargent Choice Café,dinner,409.6,off_campus_plan,none
U00396,9,Marciano Commons,lunch,319.22,commuter,vegan
U00397,13,Marciano Commons,dinner,256.0,residential_west,vegetarian
U00398,10,Marciano Commons,lunch,473.5,commuter,none
U00399,7,Warren Towers Dining,lunch,266.29,commuter,none
U00400,11,Stuvi2 / towers,lunch,482.0,residential_east,none
U00401,7,Warren Towers Dining,lunch,456.43,off_campus_plan,none
U00402,15,Sargent Choice Café,dinner,393.07,residential_central,halal
U00403,7,Sargent Choice Café,lunch,292.43,commuter,none
U00404,16,West Campus Dining,dinner,446.62,residential_west,halal
U00405,10,Stuvi2 / towers,lunch,558.6,commuter,vegetarian
U00406,15,Marciano Commons,lunch,362.53,residential_west,none
U00407,14,Warren Towers Dining,dinner,427.5,residential_east,vegetarian
U00408,7,Marciano Commons,dinner,264.71,off_campus_plan,none
U00409,14,Marciano Commons,dinner,554.5,residential_east,none
U00410,11,Marciano Commons,lunch,317.55,residential_west,none
U00411,6,Sargent Choice Café,dinner,345.33,off_campus_plan,none
U00412,6,Warren Towers Dining,lunch,653.83,off_campus_plan,none
U00413,14,Marciano Commons,dinner,478.93,residential_central,none
U00414,13,Marciano Commons,dinner,326.62,residential_central,none
U00415,12,West Campus Dining,dinner,350.92,residential_west,none
U00416,14,Marciano Commons,dinner,273.5,residential_west,gluten_free
U00417,11,Marciano Commons,dinner,268.36,residential_west,none
U00418,13,Marciano Commons,lunch,471.85,residential_central,vegan
U00419,9,West Campus Dining,lunch,372.89,commuter,none
U00420,9,Warren Towers Dining,lunch,371.22,commuter,vegetarian
U00421,9,West Campus Dining,lunch,229.22,commuter,none
U00422,13,Marciano Commons,lunch,312.23,residential_east,gluten_free
U00423,15,Marciano Commons,dinner,297.53,residential_west,none
U00424,9,Warren Towers Dining,dinner,561.78,residential_east,halal
U00425,18,Marciano Commons,dinner,411.5,residential_central,none
U00426,17,Marciano Commons,dinner,336.76,residential_west,none
U00427,9,Marciano Commons,lunch,341.89,commuter,vegetarian
U00428,15,Marciano Commons,lunch,447.8,residential_west,none
U00429,14,Marciano Commons,dinner,358.07,residential_east,none
U00430,11,Stuvi2 / towers,dinner,277.36,residential_east,none
U00431,12,Stuvi2 / towers,lunch,369.83,commuter,vegetarian
U00432,14,Marciano Commons,dinner,301.14,residential_central,gluten_free
U00433,15,Marciano Commons,lunch,414.07,residential_east,none
U00434,18,Marciano Commons,breakfast,431.83,residential_east,vegan
U00435,7,Stuvi2 / towers,lunch,90.43,commuter,none
U00436,13,Marciano Commons,dinner,359.31,residential_east,none
U00437,13,West Campus Dining,lunch,356.38,commuter,gluten_free
U00438,8,Stuvi2 / towers,lunch,474.25,commuter,halal
U00439,19,Stuvi2 / towers,dinner,395.84,residential_east,vegan
U00440,18,Warren Towers Dining,dinner,319.28,residential_east,none
U00441,6,Sargent Choice Café,dinner,650.0,off_campus_plan,none
U00442,14,Marciano Commons,dinner,359.79,residential_west,none
